thickness_m,thinning_rate,distance_m,formation,environment,environment_numeric,lithology_numeric,confinement_numeric,log10thickness_m,log10thinning_rate,log10distance_m,lithology,confinement
0.747,5.36E-05,6938.711794,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-4.270619179,3.841278849,mud,Unconfined Distal
0.747,2.92E-05,10841.32377,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-4.534434251,4.035082314,mud,Unconfined Distal
0.747,1.78E-05,16377.74109,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-4.75051028,4.214254001,mud,Unconfined Distal
0.747,2.33E-07,20161.29032,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-6.632420466,4.304518324,mud,Unconfined Distal
0.747,2.56E-06,24765.04953,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-5.592435491,4.393839201,mud,Unconfined Distal
0.747,1.84E-06,29150.52705,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-5.735481622,4.464646411,mud,Unconfined Distal
0.747,6.82E-06,31928.65761,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-5.166322231,4.50418066,mud,Unconfined Distal
0.747,5.15E-06,35209.4975,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-5.288022544,4.546659827,mud,Unconfined Distal
0.747,1.51E-06,37035.12615,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-5.820425801,4.568613828,mud,Unconfined Distal
0.747,5.78E-06,39674.35018,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-5.238295209,4.598509822,mud,Unconfined Distal
0.747,3.92E-06,44390.55753,Marnoso Arenacea,Basin Plain,0,0,2,-0.126679398,-5.406242449,4.6472906,mud,Unconfined Distal
1.2138,0.000177876,4716.207349,Marnoso Arenacea,Basin Plain,0,0,2,0.084147133,-3.749882696,3.673592891,mud,Unconfined Distal
1.2138,9.09E-05,8618.819321,Marnoso Arenacea,Basin Plain,0,0,2,0.084147133,-4.041408776,3.935447777,mud,Unconfined Distal
1.2138,5.35E-05,14155.23664,Marnoso Arenacea,Basin Plain,0,0,2,0.084147133,-4.271419847,4.150917134,mud,Unconfined Distal
