#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-08-20 14:53:44 EDT      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/co/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09070500 COLORADO RIVER NEAR DOTSERO, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		18624	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	09070500	00060	18624	1980	2	990.2
USGS	09070500	00060	18624	1980	3	1020
USGS	09070500	00060	18624	1980	4	1645
USGS	09070500	00060	18624	1980	5	5682
USGS	09070500	00060	18624	1980	6	7134
USGS	09070500	00060	18624	1980	7	2463
USGS	09070500	00060	18624	1980	8	1433
USGS	09070500	00060	18624	1980	9	1341
USGS	09070500	00060	18624	1980	10	1053
USGS	09070500	00060	18624	1980	11	981.4
USGS	09070500	00060	18624	1980	12	920.8
USGS	09070500	00060	18624	1981	1	753.2
USGS	09070500	00060	18624	1981	2	662.9
USGS	09070500	00060	18624	1981	3	668.4
USGS	09070500	00060	18624	1981	4	1097
USGS	09070500	00060	18624	1981	5	1735
USGS	09070500	00060	18624	1981	6	2553
USGS	09070500	00060	18624	1981	7	1352
USGS	09070500	00060	18624	1981	8	1336
USGS	09070500	00060	18624	1981	9	1305
USGS	09070500	00060	18624	1981	10	1037
USGS	09070500	00060	18624	1981	11	849.3
USGS	09070500	00060	18624	1981	12	726.2
USGS	09070500	00060	18624	1982	1	739
USGS	09070500	00060	18624	1982	2	741.1
USGS	09070500	00060	18624	1982	3	857.9
USGS	09070500	00060	18624	1982	4	1257
USGS	09070500	00060	18624	1982	5	3411
USGS	09070500	00060	18624	1982	6	5833
USGS	09070500	00060	18624	1982	7	3584
USGS	09070500	00060	18624	1982	8	2055
USGS	09070500	00060	18624	1982	9	1551
USGS	09070500	00060	18624	1982	10	1463
USGS	09070500	00060	18624	1982	11	1256
USGS	09070500	00060	18624	1982	12	960.2
USGS	09070500	00060	18624	1983	1	915.5
USGS	09070500	00060	18624	1983	2	913.9
USGS	09070500	00060	18624	1983	3	971.1
USGS	09070500	00060	18624	1983	4	1266
USGS	09070500	00060	18624	1983	5	4279
USGS	09070500	00060	18624	1983	6	12180
USGS	09070500	00060	18624	1983	7	9354
USGS	09070500	00060	18624	1983	8	3613
USGS	09070500	00060	18624	1983	9	1802
USGS	09070500	00060	18624	1983	10	1398
USGS	09070500	00060	18624	1983	11	1496
USGS	09070500	00060	18624	1983	12	1386
USGS	09070500	00060	18624	1984	1	1268
USGS	09070500	00060	18624	1984	2	1084
USGS	09070500	00060	18624	1984	3	1433
USGS	09070500	00060	18624	1984	4	2562
USGS	09070500	00060	18624	1984	5	10770
USGS	09070500	00060	18624	1984	6	13440
USGS	09070500	00060	18624	1984	7	8478
USGS	09070500	00060	18624	1984	8	4055
USGS	09070500	00060	18624	1984	9	2616
USGS	09070500	00060	18624	1984	10	1860
USGS	09070500	00060	18624	1984	11	1492
USGS	09070500	00060	18624	1984	12	1503
USGS	09070500	00060	18624	1985	1	1473
USGS	09070500	00060	18624	1985	2	1407
USGS	09070500	00060	18624	1985	3	1514
USGS	09070500	00060	18624	1985	4	3022
USGS	09070500	00060	18624	1985	5	7635
USGS	09070500	00060	18624	1985	6	7441
USGS	09070500	00060	18624	1985	7	3578
USGS	09070500	00060	18624	1985	8	2038
USGS	09070500	00060	18624	1985	9	1427
USGS	09070500	00060	18624	1985	10	1619
USGS	09070500	00060	18624	1985	11	1546
USGS	09070500	00060	18624	1985	12	1352
USGS	09070500	00060	18624	1986	1	1316
USGS	09070500	00060	18624	1986	2	1484
USGS	09070500	00060	18624	1986	3	1788
USGS	09070500	00060	18624	1986	4	3465
USGS	09070500	00060	18624	1986	5	7024
USGS	09070500	00060	18624	1986	6	8401
USGS	09070500	00060	18624	1986	7	3929
USGS	09070500	00060	18624	1986	8	1709
USGS	09070500	00060	18624	1986	9	1586
USGS	09070500	00060	18624	1986	10	1705
USGS	09070500	00060	18624	1986	11	1509
USGS	09070500	00060	18624	1986	12	1259
USGS	09070500	00060	18624	1987	1	1126
USGS	09070500	00060	18624	1987	2	1125
USGS	09070500	00060	18624	1987	3	1187
USGS	09070500	00060	18624	1987	4	1992
USGS	09070500	00060	18624	1987	5	3931
USGS	09070500	00060	18624	1987	6	3177
USGS	09070500	00060	18624	1987	7	1542
USGS	09070500	00060	18624	1987	8	1347
USGS	09070500	00060	18624	1987	9	1187
USGS	09070500	00060	18624	1987	10	1140
USGS	09070500	00060	18624	1987	11	1133
USGS	09070500	00060	18624	1987	12	967.1
USGS	09070500	00060	18624	1988	1	999.4
USGS	09070500	00060	18624	1988	2	1019
USGS	09070500	00060	18624	1988	3	1049
USGS	09070500	00060	18624	1988	4	2007
USGS	09070500	00060	18624	1988	5	3812
USGS	09070500	00060	18624	1988	6	4112
USGS	09070500	00060	18624	1988	7	1983
USGS	09070500	00060	18624	1988	8	1462
USGS	09070500	00060	18624	1988	9	1221
USGS	09070500	00060	18624	1988	10	954.7
USGS	09070500	00060	18624	1988	11	930.2
USGS	09070500	00060	18624	1988	12	901.4
USGS	09070500	00060	18624	1989	1	892.9
USGS	09070500	00060	18624	1989	2	813.5
USGS	09070500	00060	18624	1989	3	1061
USGS	09070500	00060	18624	1989	4	2042
USGS	09070500	00060	18624	1989	5	2974
USGS	09070500	00060	18624	1989	6	2507
USGS	09070500	00060	18624	1989	7	1609
USGS	09070500	00060	18624	1989	8	1526
USGS	09070500	00060	18624	1989	9	1300
USGS	09070500	00060	18624	1989	10	1135
USGS	09070500	00060	18624	1989	11	813.1
USGS	09070500	00060	18624	1989	12	798.6
USGS	09070500	00060	18624	1990	1	745.4
USGS	09070500	00060	18624	1990	2	653.9
USGS	09070500	00060	18624	1990	3	788.9
USGS	09070500	00060	18624	1990	4	1368
USGS	09070500	00060	18624	1990	5	1823
USGS	09070500	00060	18624	1990	6	3003
USGS	09070500	00060	18624	1990	7	1603
