#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-08-20 14:53:38 EDT      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/co/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09070500 COLORADO RIVER NEAR DOTSERO, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00010		Temperature, water, degrees Celsius		18627	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	09070500	00010	18627	1980	3	4.26
USGS	09070500	00010	18627	1980	4	8.27
USGS	09070500	00010	18627	1980	5	9.94
USGS	09070500	00010	18627	1980	6	12.2
USGS	09070500	00010	18627	1980	8	17.66
USGS	09070500	00010	18627	1980	11	2.7
USGS	09070500	00010	18627	1981	3	5.93
USGS	09070500	00010	18627	1981	4	10.79
USGS	09070500	00010	18627	1981	5	12.29
USGS	09070500	00010	18627	1981	6	15.46
USGS	09070500	00010	18627	1981	7	19.87
USGS	09070500	00010	18627	1981	8	18.29
USGS	09070500	00010	18627	1981	9	15.77
USGS	09070500	00010	18627	1981	10	9.23
USGS	09070500	00010	18627	1981	12	0.89
USGS	09070500	00010	18627	1982	1	0.45
USGS	09070500	00010	18627	1982	2	0.88
USGS	09070500	00010	18627	1982	3	4.61
USGS	09070500	00010	18627	1982	4	7.62
USGS	09070500	00010	18627	1982	5	9.63
USGS	09070500	00010	18627	1982	6	10.47
USGS	09070500	00010	18627	1982	7	14.85
USGS	09070500	00010	18627	1982	10	7.63
USGS	09070500	00010	18627	1982	11	2.47
USGS	09070500	00010	18627	1982	12	0.89
USGS	09070500	00010	18627	1983	1	0.26
USGS	09070500	00010	18627	1983	2	1.5
USGS	09070500	00010	18627	1983	3	4.73
USGS	09070500	00010	18627	1983	4	6.28
USGS	09070500	00010	18627	1983	9	14.52
USGS	09070500	00010	18627	1983	11	3.92
USGS	09070500	00010	18627	1984	4	6.5
USGS	09070500	00010	18627	1984	8	17.26
USGS	09070500	00010	18627	1984	9	13.78
USGS	09070500	00010	18627	1996	11	3.5
USGS	09070500	00010	18627	1996	12	0.44
USGS	09070500	00010	18627	1997	1	0.34
USGS	09070500	00010	18627	1997	2	0.86
USGS	09070500	00010	18627	1997	3	4.81
USGS	09070500	00010	18627	1997	4	7.24
USGS	09070500	00010	18627	1997	5	9.25
USGS	09070500	00010	18627	1997	6	11.05
USGS	09070500	00010	18627	1997	7	14
USGS	09070500	00010	18627	1997	8	15.46
USGS	09070500	00010	18627	1997	9	14.69
USGS	09070500	00010	18627	1997	10	8.85
USGS	09070500	00010	18627	1998	4	8.05
USGS	09070500	00010	18627	1998	5	10.39
USGS	09070500	00010	18627	1998	6	12.32
USGS	09070500	00010	18627	1998	7	17.81
USGS	09070500	00010	18627	1998	8	17.79

